id,original_path,repo_path,filename,extension,mime_type,size_bytes,file_role,repo_status,classification_status,ocr_document_text,ocr_scene_text,rights,attribution,notes
urbanek-ochotnici-030,Ochotníci rychvald/Zabloudil.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/Zabloudil.jpg,Zabloudil.jpg,jpg,image/jpeg,354833,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ochotnici-031,Ochotníci rychvald/ZbThumbnail.info,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/ZbThumbnail.info,ZbThumbnail.info,info,application/octet-stream,521574,technical_thumbnail_cache,repo_verified,not_applicable,not_applicable,not_applicable,unknown,Z osobního archivu p. Jaromíra Urbánka.,Ponechat pro případnou další analýzu.
urbanek-ochotnici-032,Ochotníci rychvald/večer třikr.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/večer třikr.jpg,večer třikr.jpg,jpg,image/jpeg,260209,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ochotnici-033,Ochotníci rychvald/vecere trikralovy.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/vecere trikralovy.jpg,vecere trikralovy.jpg,jpg,image/jpeg,340861,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ochotnici-034,Ochotníci rychvald/Suder Pešková Zabloudil.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/Suder Pešková Zabloudil.jpg,Suder Pešková Zabloudil.jpg,jpg,image/jpeg,655342,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ochotnici-035,Ochotníci rychvald/Sylvie Kravalová - Irena Marcalíková.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/Sylvie Kravalová - Irena Marcalíková.jpg,Sylvie Kravalová - Irena Marcalíková.jpg,jpg,image/jpeg,389365,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ochotnici-036,Ochotníci rychvald/Thumbs.db,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/Thumbs.db,Thumbs.db,db,application/octet-stream,366080,technical_thumbnail_cache,repo_verified,not_applicable,not_applicable,not_applicable,unknown,Z osobního archivu p. Jaromíra Urbánka.,Ponechat pro případnou další analýzu.
urbanek-ochotnici-037,Ochotníci rychvald/Peška.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/Peška.jpg,Peška.jpg,jpg,image/jpeg,484447,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ochotnici-038,Ochotníci rychvald/Olivie - Eva Močkořová.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/Olivie - Eva Močkořová.jpg,Olivie - Eva Močkořová.jpg,jpg,image/jpeg,581799,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ochotnici-039,Ochotníci rychvald/posledni noc  program.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/posledni noc  program.jpg,posledni noc  program.jpg,jpg,image/jpeg,137775,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ochotnici-040,Ochotníci rychvald/Orsino- Oldřich Kuboš.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/Orsino- Oldřich Kuboš.jpg,Orsino- Oldřich Kuboš.jpg,jpg,image/jpeg,296621,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ochotnici-041,Ochotníci rychvald/Rytíř  Tobiáš Říhal - Jaromír Suder.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/Rytíř  Tobiáš Říhal - Jaromír Suder.jpg,Rytíř  Tobiáš Říhal - Jaromír Suder.jpg,jpg,image/jpeg,371025,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ochotnici-042,Ochotníci rychvald/Slavnost lampionu program.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/Slavnost lampionu program.jpg,Slavnost lampionu program.jpg,jpg,image/jpeg,191670,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ochotnici-043,Ochotníci rychvald/Maskér ŠŤastný při práci.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/Maskér ŠŤastný při práci.jpg,Maskér ŠŤastný při práci.jpg,jpg,image/jpeg,385801,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ochotnici-044,Ochotníci rychvald/Marie Tonča Pešková.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/Marie Tonča Pešková.jpg,Marie Tonča Pešková.jpg,jpg,image/jpeg,310193,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ochotnici-045,Ochotníci rychvald/Malvolio - Bořivoj Peška.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/Malvolio - Bořivoj Peška.jpg,Malvolio - Bořivoj Peška.jpg,jpg,image/jpeg,376147,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ochotnici-046,Ochotníci rychvald/Kněz - Jiří Mikšan.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/Kněz - Jiří Mikšan.jpg,Kněz - Jiří Mikšan.jpg,jpg,image/jpeg,539798,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ochotnici-047,Ochotníci rychvald/ocenění.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/ocenění.jpg,ocenění.jpg,jpg,image/jpeg,554231,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ochotnici-048,Ochotníci rychvald/Malvolio  II Bořivoj Peška.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/Malvolio  II Bořivoj Peška.jpg,Malvolio  II Bořivoj Peška.jpg,jpg,image/jpeg,336434,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ochotnici-049,Ochotníci rychvald/Marcalíková a Sylva.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/Marcalíková a Sylva.jpg,Marcalíková a Sylva.jpg,jpg,image/jpeg,727846,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ochotnici-050,Ochotníci rychvald/MUDr Jaromír Marcalík - režisér.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/MUDr Jaromír Marcalík - režisér.jpg,MUDr Jaromír Marcalík - režisér.jpg,jpg,image/jpeg,206739,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ochotnici-051,Ochotníci rychvald/Fabiano - Václav Válek.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/Fabiano - Václav Válek.jpg,Fabiano - Václav Válek.jpg,jpg,image/jpeg,366348,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ochotnici-052,Ochotníci rychvald/Glacová.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/Glacová.jpg,Glacová.jpg,jpg,image/jpeg,246336,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ochotnici-053,Ochotníci rychvald/Hudebníci Václav Bialek Oldřich Gřibek.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/Hudebníci Václav Bialek Oldřich Gřibek.jpg,Hudebníci Václav Bialek Oldřich Gřibek.jpg,jpg,image/jpeg,388384,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ochotnici-054,Ochotníci rychvald/img356.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/img356.jpg,img356.jpg,jpg,image/jpeg,421420,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ochotnici-055,Ochotníci rychvald/Dámy a husaři- Řehoř a Hanka Jaromír Suder a Alice Kubošová.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/Dámy a husaři- Řehoř a Hanka Jaromír Suder a Alice Kubošová.jpg,Dámy a husaři- Řehoř a Hanka Jaromír Suder a Alice Kubošová.jpg,jpg,image/jpeg,179620,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ochotnici-056,Ochotníci rychvald/Irena Marcalíková.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/Irena Marcalíková.jpg,Irena Marcalíková.jpg,jpg,image/jpeg,271380,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ochotnici-057,Ochotníci rychvald/Dvořan -Miroslav Glac.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/Dvořan -Miroslav Glac.jpg,Dvořan -Miroslav Glac.jpg,jpg,image/jpeg,259725,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ochotnici-058,Ochotníci rychvald/Dvorní dáma - Alice Kubošová.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/Dvorní dáma - Alice Kubošová.jpg,Dvorní dáma - Alice Kubošová.jpg,jpg,image/jpeg,328994,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ochotnici-059,Ochotníci rychvald/Divadelní soubor Osvět. besedy.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/Divadelní soubor Osvět. besedy.jpg,Divadelní soubor Osvět. besedy.jpg,jpg,image/jpeg,460151,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ochotnici-060,Ochotníci rychvald/Curio- Ladislav Vybranec.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/Curio- Ladislav Vybranec.jpg,Curio- Ladislav Vybranec.jpg,jpg,image/jpeg,335252,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ochotnici-061,Ochotníci rychvald/112 let ochotnických souborů v.doc,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/112 let ochotnických souborů v.doc,112 let ochotnických souborů v.doc,doc,application/msword,27136,document_file,repo_verified,pending,pending,not_applicable,unknown,Z osobního archivu p. Jaromíra Urbánka.,Původní binární dokument DOC; obsah ověřit samostatně.
urbanek-ochotnici-062,Ochotníci rychvald/Biřic - Miroslav Glac.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/Biřic - Miroslav Glac.jpg,Biřic - Miroslav Glac.jpg,jpg,image/jpeg,393255,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ochotnici-063,Ochotníci rychvald/Antonio - Mir. Neborák.jpg,sources/osobni-archiv-jaromira-urbanka/Ochotníci rychvald/Antonio - Mir. Neborák.jpg,Antonio - Mir. Neborák.jpg,jpg,image/jpeg,469788,image_or_document_scan_pending,repo_verified,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
